id,week,team,points,talent,outcome,spread,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs,points_MA,totalYards_MA,rushYards_MA,passYards_MA,firstDowns_MA,turnovers_MA,defensiveTDs_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA
401114341,5,New Mexico State,17,269.79,13,21.0,1,0,1,315,105,210,4.5,4.8,17,3,0,1,13,0,19.75,349.25,95.25,254.0,19.5,2.75,0.0,0.25,24.5,0.0
401117543,11,Hawai'i,42,420.99,-2,-7.5,1,1,0,509,200,309,9.7,5.7,26,1,0,1,69,0,36.5,514.25,164.75,349.5,24.0,2.0,0.25,0.75,101.25,0.0
401114330,9,Army,29,265.19,5,-9.5,1,0,0,429,326,103,7.9,4.7,28,1,0,0,64,0,28.5,349.25,252.75,96.5,20.25,1.25,0.25,1.0,26.5,0.0
401117524,7,Nevada,41,461.96,-3,-3.0,1,1,0,541,189,352,9.5,3.7,25,3,2,0,93,0,16.25,312.75,131.75,181.0,18.0,3.0,0.0,2.5,39.0,0.0
401117512,5,Air Force,41,151.86,-17,-19.5,1,1,0,513,382,131,13.1,5.5,24,2,0,1,11,0,24.5,397.0,263.0,134.0,20.5,2.0,0.0,2.5,0.0,0.0
401110798,4,Arkansas,24,707.72,7,-20.0,1,0,0,487,131,356,7.1,4.1,26,5,0,2,61,0,30.666666666666668,425.3333333333333,160.0,265.3333333333333,22.333333333333332,1.0,0.6666666666666666,4.666666666666667,42.666666666666664,0.0
401117553,13,UNLV,38,462.72,-3,7.0,1,1,1,455,252,203,5.6,6.6,21,1,0,0,19,0,17.0,353.0,125.5,227.5,19.0,1.75,0.0,0.5,50.25,0.0
401117552,13,Hawai'i,14,420.99,-3,-1.0,1,1,1,347,132,215,6.1,4.3,24,1,0,0,6,0,36.5,521.0,212.25,308.75,24.75,1.5,0.5,1.0,53.75,0.0
401117529,8,San José State,17,433.33,10,7.5,1,0,0,272,54,218,6.1,3.2,15,1,0,4,17,0,31.25,441.25,66.5,374.75,21.75,1.0,0.0,0.5,7.0,0.0
401117534,9,UNLV,17,462.72,3,11.5,1,0,1,376,121,255,6.5,3.7,18,0,0,2,0,0,22.75,365.75,127.25,238.5,20.75,2.5,0.0,0.75,51.75,0.0
401117518,6,Colorado State,10,518.83,14,6.5,1,0,0,235,18,217,6.8,0.7,12,4,0,4,0,0,32.75,499.25,194.25,305.0,22.5,2.0,0.5,2.5,36.25,0.0
401114214,2,UCLA,14,741.4,9,-7.5,1,0,0,261,62,199,5.7,1.9,16,2,0,4,9,0,14.0,218.0,62.0,156.0,12.0,4.0,0.0,1.0,12.0,0.0
401114339,3,New Mexico State,10,269.79,21,16.5,1,0,0,329,30,299,7.3,1.3,17,4,0,0,0,0,8.5,289.5,98.5,191.0,16.0,3.0,0.0,0.5,0.0,0.0
401114334,14,Hawai'i,52,420.99,-21,-2.0,1,1,1,492,133,359,8.8,7.0,25,0,1,2,73,0,28.75,463.25,181.5,281.75,25.5,1.5,0.25,0.5,51.0,0.0
401114285,7,Western Kentucky,17,486.97,-9,5.5,1,1,1,365,225,140,4.7,4.4,26,0,0,0,16,0,20.25,292.25,75.25,217.0,16.5,1.75,0.0,2.5,45.0,0.0
401114331,10,Air Force,17,151.86,-4,-17.0,1,1,0,344,328,16,2.0,6.0,17,1,0,1,23,0,38.75,442.25,312.25,130.0,23.75,1.25,1.0,2.0,10.0,0.0
401114335,15,Navy,31,335.4,-24,-11.5,1,1,1,396,395,1,1.0,7.2,17,0,0,2,0,0,41.75,506.75,378.5,128.25,23.0,1.0,0.0,1.0,16.25,0.0
401114261,3,UT San Antonio,13,471.36,18,17.0,1,0,0,260,51,209,6.3,1.9,13,3,0,2,100,0,24.5,378.0,224.0,154.0,21.0,1.5,0.0,5.0,18.5,0.0
401112223,2,Michigan,24,853.4,-3,-22.0,1,1,0,340,108,232,7.5,2.4,23,3,0,1,70,0,40.0,453.0,233.0,220.0,26.0,2.0,0.0,3.0,76.0,0.0
401114329,8,Georgia State,28,369.05,-7,4.0,1,1,1,379,147,232,8.3,4.6,23,1,0,0,0,0,31.75,488.25,276.0,212.25,25.25,1.75,0.0,2.25,18.25,0.0
401119255,1,Buffalo,38,284.74,-28,-41.5,1,1,0,354,285,69,6.9,6.1,21,1,0,4,41,0,,,,,,,,,,
401117870,4,Buffalo,38,284.74,-16,14.0,1,1,1,279,217,62,4.1,3.7,17,2,1,3,0,0,22.666666666666668,385.3333333333333,225.0,160.33333333333334,23.0,1.0,0.0,3.6666666666666665,28.333333333333332,0.0
401117907,13,Cincinnati,15,576.61,-2,-9.0,1,1,0,210,148,62,2.5,3.4,14,1,0,1,0,0,34.5,397.25,244.5,152.75,20.0,1.5,0.25,3.75,58.0,0.0
401117899,11,South Florida,7,559.66,10,-1.0,1,0,0,286,61,225,5.9,1.6,20,2,0,2,12,0,30.75,401.75,263.25,138.5,20.5,1.5,0.0,3.0,73.0,0.0
401117874,6,East Carolina,17,468.23,10,12.0,1,0,1,327,98,229,5.9,2.9,21,0,0,4,31,0,25.25,396.25,206.5,189.75,19.5,1.5,0.5,4.5,28.5,0.0
401117887,8,SMU,45,565.15,-24,-9.5,1,1,1,655,198,457,8.5,3.6,33,1,0,6,41,0,44.75,495.5,220.75,274.75,23.75,1.75,0.25,7.25,63.0,0.0
401119274,6,Buffalo,20,284.74,1,3.5,1,0,1,378,181,197,8.6,4.2,19,1,0,8,0,0,22.0,369.75,229.0,140.75,21.25,2.0,0.25,3.0,11.0,0.0
401119306,13,Bowling Green,24,315.44,42,20.5,1,0,0,418,168,250,7.4,4.0,25,5,0,0,65,0,17.0,290.25,162.25,128.0,15.5,2.25,0.5,1.75,59.5,0.0
401119292,9,Ball State,21,327.92,13,-2.5,1,0,0,351,242,109,5.5,6.9,16,1,0,0,124,0,32.75,429.25,222.25,207.0,23.5,1.25,0.0,3.0,47.75,0.0
401114259,3,Marshall,33,489.63,-2,-4.5,1,1,0,511,305,206,7.4,6.6,24,0,0,0,23,0,7.0,172.0,116.0,56.0,9.0,2.0,0.0,2.0,29.0,0.0
401112445,2,Pittsburgh,20,637.95,-10,-4.0,1,1,1,481,160,321,8.7,4.3,22,0,0,6,20,0,14.0,263.0,78.0,185.0,15.0,2.0,0.0,6.0,26.0,0.0
401119310,14,Akron,3,312.81,49,27.5,1,0,0,74,41,33,1.2,1.6,7,2,0,2,85,0,9.25,197.25,45.5,151.75,9.75,2.0,0.25,1.0,84.25,0.0
401119289,9,Buffalo,43,284.74,-23,-2.5,1,1,1,376,197,179,7.2,3.6,23,1,2,4,0,0,24.75,327.25,224.0,103.25,18.0,2.0,0.75,5.75,0.0,0.0
401119282,8,Bowling Green,20,315.44,18,11.0,1,0,0,344,178,166,5.7,4.8,19,3,2,0,51,0,11.75,325.75,157.75,168.0,16.5,1.25,0.0,4.0,71.0,0.0
401119304,12,Ball State,44,327.92,1,-1.0,1,0,0,499,231,268,10.7,4.9,22,1,0,1,143,0,33.25,447.75,268.25,179.5,22.0,0.75,0.25,3.0,104.5,0.25
401119271,5,Western Michigan,31,452.05,-16,-16.5,1,1,0,432,188,244,8.4,5.1,22,1,0,6,22,0,38.75,515.25,202.0,313.25,22.75,1.75,0.0,3.25,89.0,0.0
401112268,2,Wisconsin,61,675.8,-61,-35.0,1,1,1,599,199,400,10.3,4.6,37,1,0,1,0,0,49.0,435.0,234.0,201.0,22.0,1.0,1.0,4.0,23.0,0.0
401112458,4,Miami,17,815.12,-5,-30.5,1,1,0,301,51,250,10.4,1.5,16,1,0,4,21,0,36.0,459.6666666666667,174.33333333333334,285.3333333333333,24.0,0.3333333333333333,0.0,4.333333333333333,28.0,0.0
401119308,13,Buffalo,49,284.74,-19,-10.0,1,1,1,503,331,172,8.6,6.2,22,0,0,4,21,0,33.5,367.25,220.75,146.5,21.75,0.75,1.0,6.0,14.75,0.0
